component_id,component_path,old_needs_human_review,new_needs_human_review,old_status,new_status,route_profile,reason
DIRECTOR:_BRAHMA,directors/supreme_vision/brahma.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_KRISHNA,directors/supreme_vision/krishna.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_SHAKTI,directors/supreme_vision/shakti.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
shiva,directors/supreme_vision/shiva.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,lineage_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_VISHNU,directors/supreme_vision/vishnu.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
AGENT_RUNTIME_REGISTRY,agents/AGENT_RUNTIME_REGISTRY.yaml,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agastya_agent,agents/agastya/agastya_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_control_plane_001_agent,agents/agent_control_plane_001/agent_control_plane_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_control_plane_002_agent,agents/agent_control_plane_002/agent_control_plane_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_control_plane_003_agent,agents/agent_control_plane_003/agent_control_plane_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_control_plane_004_agent,agents/agent_control_plane_004/agent_control_plane_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_control_plane_005_agent,agents/agent_control_plane_005/agent_control_plane_005_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_evolution_001_agent,agents/agent_evolution_001/agent_evolution_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_evolution_002_agent,agents/agent_evolution_002/agent_evolution_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_evolution_003_agent,agents/agent_evolution_003/agent_evolution_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_evolution_004_agent,agents/agent_evolution_004/agent_evolution_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_evolution_005_agent,agents/agent_evolution_005/agent_evolution_005_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_001_agent,agents/agent_governance_001/agent_governance_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_002_agent,agents/agent_governance_002/agent_governance_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_003_agent,agents/agent_governance_003/agent_governance_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_004_agent,agents/agent_governance_004/agent_governance_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_005_agent,agents/agent_governance_005/agent_governance_005_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_006_agent,agents/agent_governance_006/agent_governance_006_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_007_agent,agents/agent_governance_007/agent_governance_007_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_008_agent,agents/agent_governance_008/agent_governance_008_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_009_agent,agents/agent_governance_009/agent_governance_009_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_governance_010_agent,agents/agent_governance_010/agent_governance_010_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_001_agent,agents/agent_kernel_001/agent_kernel_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_002_agent,agents/agent_kernel_002/agent_kernel_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_003_agent,agents/agent_kernel_003/agent_kernel_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_004_agent,agents/agent_kernel_004/agent_kernel_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_005_agent,agents/agent_kernel_005/agent_kernel_005_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_006_agent,agents/agent_kernel_006/agent_kernel_006_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_007_agent,agents/agent_kernel_007/agent_kernel_007_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_008_agent,agents/agent_kernel_008/agent_kernel_008_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_009_agent,agents/agent_kernel_009/agent_kernel_009_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_010_agent,agents/agent_kernel_010/agent_kernel_010_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_011_agent,agents/agent_kernel_011/agent_kernel_011_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_kernel_012_agent,agents/agent_kernel_012/agent_kernel_012_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_001_agent,agents/agent_media_001/agent_media_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_002_agent,agents/agent_media_002/agent_media_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_003_agent,agents/agent_media_003/agent_media_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_004_agent,agents/agent_media_004/agent_media_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_005_agent,agents/agent_media_005/agent_media_005_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_006_agent,agents/agent_media_006/agent_media_006_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_007_agent,agents/agent_media_007/agent_media_007_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_008_agent,agents/agent_media_008/agent_media_008_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_009_agent,agents/agent_media_009/agent_media_009_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_010_agent,agents/agent_media_010/agent_media_010_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_011_agent,agents/agent_media_011/agent_media_011_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_012_agent,agents/agent_media_012/agent_media_012_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_013_agent,agents/agent_media_013/agent_media_013_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_014_agent,agents/agent_media_014/agent_media_014_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_015_agent,agents/agent_media_015/agent_media_015_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_016_agent,agents/agent_media_016/agent_media_016_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_017_agent,agents/agent_media_017/agent_media_017_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_018_agent,agents/agent_media_018/agent_media_018_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_019_agent,agents/agent_media_019/agent_media_019_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_media_020_agent,agents/agent_media_020/agent_media_020_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_plugin_runtime_001_agent,agents/agent_plugin_runtime_001/agent_plugin_runtime_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_plugin_runtime_002_agent,agents/agent_plugin_runtime_002/agent_plugin_runtime_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_plugin_runtime_003_agent,agents/agent_plugin_runtime_003/agent_plugin_runtime_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_plugin_runtime_004_agent,agents/agent_plugin_runtime_004/agent_plugin_runtime_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_001_agent,agents/agent_recovery_001/agent_recovery_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_002_agent,agents/agent_recovery_002/agent_recovery_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_003_agent,agents/agent_recovery_003/agent_recovery_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_004_agent,agents/agent_recovery_004/agent_recovery_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_005_agent,agents/agent_recovery_005/agent_recovery_005_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_006_agent,agents/agent_recovery_006/agent_recovery_006_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_007_agent,agents/agent_recovery_007/agent_recovery_007_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_recovery_008_agent,agents/agent_recovery_008/agent_recovery_008_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_001_agent,agents/agent_research_001/agent_research_001_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_002_agent,agents/agent_research_002/agent_research_002_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_003_agent,agents/agent_research_003/agent_research_003_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_004_agent,agents/agent_research_004/agent_research_004_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_005_agent,agents/agent_research_005/agent_research_005_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_006_agent,agents/agent_research_006/agent_research_006_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_007_agent,agents/agent_research_007/agent_research_007_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_008_agent,agents/agent_research_008/agent_research_008_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_009_agent,agents/agent_research_009/agent_research_009_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_010_agent,agents/agent_research_010/agent_research_010_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_011_agent,agents/agent_research_011/agent_research_011_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_012_agent,agents/agent_research_012/agent_research_012_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_013_agent,agents/agent_research_013/agent_research_013_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
agent_research_014_agent,agents/agent_research_014/agent_research_014_agent.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
