fixture_name,previous_status,expected_result,actual_result_after_patch,fixed,rule_added_or_fixed,status
fail_missing_visual_context_packet.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_missing_voice_context_packet.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_operator_mode_no_compact_proof.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_operator_output_skips_local_enforcement_packet.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_packet_schema_missing.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_pointer_file_only_no_pointer_id.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_provider_execution_falsely_claimed.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_quality_scorecard_false_pass.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_registry_path_missing.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_route_component_missing.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_route_manifest_exists_but_no_dag.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_selected_component_missing_io_schema.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_shadow_script_alias_no_wrapper.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_vein_not_connected_to_dag.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_bootstrap_loaded_but_no_route_lock.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_generic_output.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_hook_variants_without_scores.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_internet_first_before_repo.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_latest_claims_before_source_lock.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_latest_watchlist_one_vendor_only.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_mandatory_files_not_read.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_no_shadow_boot_confirmation.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_raw_plain_task_claimed_onboarded.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_route_manifest_not_read.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_script_before_consumption_lock.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_shadow_alias_without_locks.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_fail_shallow_repo_routing_only.txt,PASS_IN_2F_V2,ANY,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_partial_manual_rerun_structured_missing_ledgers.txt,PASS_IN_2F_V2,ANY,PARTIAL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_partial_missing_agent_index.txt,PASS_IN_2F_V2,ANY,PARTIAL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_partial_missing_content_engineering.txt,PASS_IN_2F_V2,ANY,PARTIAL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_partial_missing_skill_consumption.txt,PASS_IN_2F_V2,ANY,PARTIAL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_partial_operator_mode_missing_source_summary.txt,PASS_IN_2F_V2,ANY,PARTIAL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_partial_role_summary_ledgers_only.txt,PASS_IN_2F_V2,ANY,PARTIAL,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_pass_all_locks_route_manifest_consumed_quality_governed_output.txt,PASS_IN_2F_V2,ANY,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_pass_bootstrap_consumed_quality_output.txt,PASS_IN_2F_V2,ANY,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_pass_minimal_complete.txt,PASS_IN_2F_V2,ANY,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_pass_shadow_script_operator_mode.txt,PASS_IN_2F_V2,ANY,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_pass_with_notice_all_locks_but_rule_depth_partial.txt,PASS_IN_2F_V2,ANY,PASS_WITH_NOTICE,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_pass_wrapper_required_mode_all_locks.txt,PASS_IN_2F_V2,ANY,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
mac06_1a_pass_wrapper_source_breadth_exact_rule_evidence.txt,PASS_IN_2F_V2,ANY,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
pass_component_depth_full_packet_graph.txt,PASS_IN_2F_V2,PASS,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
pass_mac06_2d_full_component_depth_route_specific_graph.txt,PASS_IN_2F_V2,PASS,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
pass_shadow_script_operator_mode_compact_graph.txt,PASS_IN_2F_V2,PASS,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
pass_shadow_script_proof_mode_full_graph.txt,PASS_IN_2F_V2,PASS,PASS,n/a,last-key-value resolution + runtime/component failure gates,PASS
