component_id,component_path,old_lifecycle_status,new_lifecycle_status,consumed_by_dag,active_runtime,reason
agent_control_plane_003_agent,agents/agent_control_plane_003/agent_control_plane_003_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_control_plane_004_agent,agents/agent_control_plane_004/agent_control_plane_004_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_control_plane_005_agent,agents/agent_control_plane_005/agent_control_plane_005_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_evolution_001_agent,agents/agent_evolution_001/agent_evolution_001_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_evolution_002_agent,agents/agent_evolution_002/agent_evolution_002_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_evolution_003_agent,agents/agent_evolution_003/agent_evolution_003_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_evolution_004_agent,agents/agent_evolution_004/agent_evolution_004_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_evolution_005_agent,agents/agent_evolution_005/agent_evolution_005_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_001_agent,agents/agent_governance_001/agent_governance_001_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_002_agent,agents/agent_governance_002/agent_governance_002_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_003_agent,agents/agent_governance_003/agent_governance_003_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_004_agent,agents/agent_governance_004/agent_governance_004_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_005_agent,agents/agent_governance_005/agent_governance_005_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_006_agent,agents/agent_governance_006/agent_governance_006_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_007_agent,agents/agent_governance_007/agent_governance_007_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_008_agent,agents/agent_governance_008/agent_governance_008_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_009_agent,agents/agent_governance_009/agent_governance_009_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_governance_010_agent,agents/agent_governance_010/agent_governance_010_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_001_agent,agents/agent_kernel_001/agent_kernel_001_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_002_agent,agents/agent_kernel_002/agent_kernel_002_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_003_agent,agents/agent_kernel_003/agent_kernel_003_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_004_agent,agents/agent_kernel_004/agent_kernel_004_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_005_agent,agents/agent_kernel_005/agent_kernel_005_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_006_agent,agents/agent_kernel_006/agent_kernel_006_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_007_agent,agents/agent_kernel_007/agent_kernel_007_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_008_agent,agents/agent_kernel_008/agent_kernel_008_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_009_agent,agents/agent_kernel_009/agent_kernel_009_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_010_agent,agents/agent_kernel_010/agent_kernel_010_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_011_agent,agents/agent_kernel_011/agent_kernel_011_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_kernel_012_agent,agents/agent_kernel_012/agent_kernel_012_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_001_agent,agents/agent_media_001/agent_media_001_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_002_agent,agents/agent_media_002/agent_media_002_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_003_agent,agents/agent_media_003/agent_media_003_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_004_agent,agents/agent_media_004/agent_media_004_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_005_agent,agents/agent_media_005/agent_media_005_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_006_agent,agents/agent_media_006/agent_media_006_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_007_agent,agents/agent_media_007/agent_media_007_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_008_agent,agents/agent_media_008/agent_media_008_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_009_agent,agents/agent_media_009/agent_media_009_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_010_agent,agents/agent_media_010/agent_media_010_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_011_agent,agents/agent_media_011/agent_media_011_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_012_agent,agents/agent_media_012/agent_media_012_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_013_agent,agents/agent_media_013/agent_media_013_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_014_agent,agents/agent_media_014/agent_media_014_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_015_agent,agents/agent_media_015/agent_media_015_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_016_agent,agents/agent_media_016/agent_media_016_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_017_agent,agents/agent_media_017/agent_media_017_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_018_agent,agents/agent_media_018/agent_media_018_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_019_agent,agents/agent_media_019/agent_media_019_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_media_020_agent,agents/agent_media_020/agent_media_020_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_plugin_runtime_001_agent,agents/agent_plugin_runtime_001/agent_plugin_runtime_001_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
agent_plugin_runtime_002_agent,agents/agent_plugin_runtime_002/agent_plugin_runtime_002_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
agent_plugin_runtime_003_agent,agents/agent_plugin_runtime_003/agent_plugin_runtime_003_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
agent_plugin_runtime_004_agent,agents/agent_plugin_runtime_004/agent_plugin_runtime_004_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
agent_recovery_001_agent,agents/agent_recovery_001/agent_recovery_001_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_recovery_002_agent,agents/agent_recovery_002/agent_recovery_002_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_recovery_003_agent,agents/agent_recovery_003/agent_recovery_003_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_recovery_004_agent,agents/agent_recovery_004/agent_recovery_004_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_recovery_005_agent,agents/agent_recovery_005/agent_recovery_005_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_recovery_006_agent,agents/agent_recovery_006/agent_recovery_006_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_recovery_007_agent,agents/agent_recovery_007/agent_recovery_007_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_recovery_008_agent,agents/agent_recovery_008/agent_recovery_008_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_001_agent,agents/agent_research_001/agent_research_001_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_002_agent,agents/agent_research_002/agent_research_002_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_003_agent,agents/agent_research_003/agent_research_003_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_004_agent,agents/agent_research_004/agent_research_004_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_005_agent,agents/agent_research_005/agent_research_005_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_006_agent,agents/agent_research_006/agent_research_006_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_007_agent,agents/agent_research_007/agent_research_007_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_008_agent,agents/agent_research_008/agent_research_008_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_009_agent,agents/agent_research_009/agent_research_009_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_010_agent,agents/agent_research_010/agent_research_010_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_011_agent,agents/agent_research_011/agent_research_011_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_012_agent,agents/agent_research_012/agent_research_012_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_013_agent,agents/agent_research_013/agent_research_013_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_014_agent,agents/agent_research_014/agent_research_014_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_015_agent,agents/agent_research_015/agent_research_015_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_016_agent,agents/agent_research_016/agent_research_016_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_017_agent,agents/agent_research_017/agent_research_017_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_research_018_agent,agents/agent_research_018/agent_research_018_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agni_agent,agents/agni/agni_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
arjuna_agent,agents/arjuna/arjuna_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
aruna_agent,agents/aruna/aruna_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
brahma_agent,agents/brahma/brahma_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
chanakya_agent,agents/chanakya/chanakya_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
chandra_agent,agents/chandra/chandra_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
chitragupta_agent,agents/chitragupta/chitragupta_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
agent_class_matrix,agents/common/agent_class_matrix.py,ACTIVE_SUPPORT,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
director_authority_profiles,agents/common/director_authority_profiles.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
director_binding_matrix,agents/common/director_binding_matrix.py,ACTIVE_SUPPORT,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
production_agent_base,agents/common/production_agent_base.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
sub_agent_matrix,agents/common/sub_agent_matrix.py,ACTIVE_SUPPORT,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
workflow_binding_contracts,agents/common/workflow_binding_contracts.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
workflow_sub_agent_base,agents/common/workflow_sub_agent_base.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
durga_agent,agents/durga/durga_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
ganesha_agent,agents/ganesha/ganesha_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
garuda_agent,agents/garuda/garuda_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
hanuman_agent,agents/hanuman/hanuman_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
indra_agent,agents/indra/indra_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
kama_agent,agents/kama/kama_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
krishna_agent,agents/krishna/krishna_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
kubera_agent,agents/kubera/kubera_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
Narada_Data_Ingestion_Agent_v2,agents/narada/narada_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
nataraja_agent,agents/nataraja/nataraja_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
parashara_agent,agents/parashara/parashara_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
ravana_agent,agents/ravana/ravana_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
saraswati_agent,agents/saraswati/saraswati_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
shakti_agent,agents/shakti/shakti_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
shiva_agent,agents/shiva/shiva_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
tumburu_agent,agents/tumburu/tumburu_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
valmiki_agent,agents/valmiki/valmiki_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
varuna_agent,agents/varuna/varuna_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
vishnu_agent,agents/vishnu/vishnu_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
vishwakarma_agent,agents/vishwakarma/vishwakarma_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
vyasa_agent,agents/vyasa/vyasa_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
yama_agent,agents/yama/yama_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
yudhishthira_agent,agents/yudhishthira/yudhishthira_agent.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
SUB_AGENT_RUNTIME_REGISTRY,subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,ACTIVE_SUPPORT,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
cwf_110_sub_agent,subagents/cwf_110/cwf_110_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_120_sub_agent,subagents/cwf_120/cwf_120_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_130_sub_agent,subagents/cwf_130/cwf_130_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_140_sub_agent,subagents/cwf_140/cwf_140_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_210_sub_agent,subagents/cwf_210/cwf_210_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_220_sub_agent,subagents/cwf_220/cwf_220_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_230_sub_agent,subagents/cwf_230/cwf_230_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_240_sub_agent,subagents/cwf_240/cwf_240_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_310_sub_agent,subagents/cwf_310/cwf_310_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_320_sub_agent,subagents/cwf_320/cwf_320_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_330_sub_agent,subagents/cwf_330/cwf_330_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_340_sub_agent,subagents/cwf_340/cwf_340_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_410_sub_agent,subagents/cwf_410/cwf_410_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_420_sub_agent,subagents/cwf_420/cwf_420_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_430_sub_agent,subagents/cwf_430/cwf_430_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_440_sub_agent,subagents/cwf_440/cwf_440_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_510_sub_agent,subagents/cwf_510/cwf_510_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_520_sub_agent,subagents/cwf_520/cwf_520_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
cwf_530_sub_agent,subagents/cwf_530/cwf_530_sub_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
