component_id,component_path,lifecycle_status,active_runtime,consumed_by_dag,safe_inactive,status,gap
DIRECTOR:_VALMIKI,directors/research/valmiki.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_VYASA,directors/research/vyasa.md,DORMANT_FUTURE,False,False,True,PASS,
DIRECTOR:_CHANAKYA,directors/strategy/chanakya.md,DORMANT_FUTURE,False,False,True,PASS,
DIRECTOR:_DURGA,directors/strategy/durga.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_NARADA,directors/strategy/narada.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_RAVANA,directors/strategy/ravana.md,DORMANT_FUTURE,False,False,True,PASS,
DIRECTOR:_YUDHISHTHIRA,directors/strategy/yudhishthira.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_BRAHMA,directors/supreme_vision/brahma.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_KRISHNA,directors/supreme_vision/krishna.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_SHAKTI,directors/supreme_vision/shakti.md,QUARANTINE_REVIEW,False,False,True,PASS,
shiva,directors/supreme_vision/shiva.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_VISHNU,directors/supreme_vision/vishnu.md,QUARANTINE_REVIEW,False,False,True,PASS,
AGENT_RUNTIME_REGISTRY,agents/AGENT_RUNTIME_REGISTRY.yaml,QUARANTINE_REVIEW,False,False,True,PASS,
agastya_agent,agents/agastya/agastya_agent.py,ACTIVE_CORE,True,True,False,PASS,
agent_control_plane_001_agent,agents/agent_control_plane_001/agent_control_plane_001_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_control_plane_002_agent,agents/agent_control_plane_002/agent_control_plane_002_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_control_plane_003_agent,agents/agent_control_plane_003/agent_control_plane_003_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_control_plane_004_agent,agents/agent_control_plane_004/agent_control_plane_004_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_control_plane_005_agent,agents/agent_control_plane_005/agent_control_plane_005_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_evolution_001_agent,agents/agent_evolution_001/agent_evolution_001_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_evolution_002_agent,agents/agent_evolution_002/agent_evolution_002_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_evolution_003_agent,agents/agent_evolution_003/agent_evolution_003_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_evolution_004_agent,agents/agent_evolution_004/agent_evolution_004_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_evolution_005_agent,agents/agent_evolution_005/agent_evolution_005_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_001_agent,agents/agent_governance_001/agent_governance_001_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_002_agent,agents/agent_governance_002/agent_governance_002_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_003_agent,agents/agent_governance_003/agent_governance_003_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_004_agent,agents/agent_governance_004/agent_governance_004_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_005_agent,agents/agent_governance_005/agent_governance_005_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_006_agent,agents/agent_governance_006/agent_governance_006_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_007_agent,agents/agent_governance_007/agent_governance_007_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_008_agent,agents/agent_governance_008/agent_governance_008_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_009_agent,agents/agent_governance_009/agent_governance_009_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_governance_010_agent,agents/agent_governance_010/agent_governance_010_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_001_agent,agents/agent_kernel_001/agent_kernel_001_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_002_agent,agents/agent_kernel_002/agent_kernel_002_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_003_agent,agents/agent_kernel_003/agent_kernel_003_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_004_agent,agents/agent_kernel_004/agent_kernel_004_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_005_agent,agents/agent_kernel_005/agent_kernel_005_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_006_agent,agents/agent_kernel_006/agent_kernel_006_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_007_agent,agents/agent_kernel_007/agent_kernel_007_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_008_agent,agents/agent_kernel_008/agent_kernel_008_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_009_agent,agents/agent_kernel_009/agent_kernel_009_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_010_agent,agents/agent_kernel_010/agent_kernel_010_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_011_agent,agents/agent_kernel_011/agent_kernel_011_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_kernel_012_agent,agents/agent_kernel_012/agent_kernel_012_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_001_agent,agents/agent_media_001/agent_media_001_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_002_agent,agents/agent_media_002/agent_media_002_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_003_agent,agents/agent_media_003/agent_media_003_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_004_agent,agents/agent_media_004/agent_media_004_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_005_agent,agents/agent_media_005/agent_media_005_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_006_agent,agents/agent_media_006/agent_media_006_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_007_agent,agents/agent_media_007/agent_media_007_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_008_agent,agents/agent_media_008/agent_media_008_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_009_agent,agents/agent_media_009/agent_media_009_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_010_agent,agents/agent_media_010/agent_media_010_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_011_agent,agents/agent_media_011/agent_media_011_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_012_agent,agents/agent_media_012/agent_media_012_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_013_agent,agents/agent_media_013/agent_media_013_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_014_agent,agents/agent_media_014/agent_media_014_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_015_agent,agents/agent_media_015/agent_media_015_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_016_agent,agents/agent_media_016/agent_media_016_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_017_agent,agents/agent_media_017/agent_media_017_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_018_agent,agents/agent_media_018/agent_media_018_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_019_agent,agents/agent_media_019/agent_media_019_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_media_020_agent,agents/agent_media_020/agent_media_020_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_plugin_runtime_001_agent,agents/agent_plugin_runtime_001/agent_plugin_runtime_001_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
agent_plugin_runtime_002_agent,agents/agent_plugin_runtime_002/agent_plugin_runtime_002_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
agent_plugin_runtime_003_agent,agents/agent_plugin_runtime_003/agent_plugin_runtime_003_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
agent_plugin_runtime_004_agent,agents/agent_plugin_runtime_004/agent_plugin_runtime_004_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
agent_recovery_001_agent,agents/agent_recovery_001/agent_recovery_001_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_recovery_002_agent,agents/agent_recovery_002/agent_recovery_002_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_recovery_003_agent,agents/agent_recovery_003/agent_recovery_003_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_recovery_004_agent,agents/agent_recovery_004/agent_recovery_004_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_recovery_005_agent,agents/agent_recovery_005/agent_recovery_005_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_recovery_006_agent,agents/agent_recovery_006/agent_recovery_006_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_recovery_007_agent,agents/agent_recovery_007/agent_recovery_007_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_recovery_008_agent,agents/agent_recovery_008/agent_recovery_008_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_001_agent,agents/agent_research_001/agent_research_001_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_002_agent,agents/agent_research_002/agent_research_002_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_003_agent,agents/agent_research_003/agent_research_003_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_004_agent,agents/agent_research_004/agent_research_004_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_005_agent,agents/agent_research_005/agent_research_005_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_006_agent,agents/agent_research_006/agent_research_006_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_007_agent,agents/agent_research_007/agent_research_007_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_008_agent,agents/agent_research_008/agent_research_008_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_009_agent,agents/agent_research_009/agent_research_009_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_010_agent,agents/agent_research_010/agent_research_010_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_011_agent,agents/agent_research_011/agent_research_011_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_012_agent,agents/agent_research_012/agent_research_012_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_013_agent,agents/agent_research_013/agent_research_013_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_014_agent,agents/agent_research_014/agent_research_014_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_015_agent,agents/agent_research_015/agent_research_015_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_016_agent,agents/agent_research_016/agent_research_016_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_017_agent,agents/agent_research_017/agent_research_017_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agent_research_018_agent,agents/agent_research_018/agent_research_018_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
agni_agent,agents/agni/agni_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
arjuna_agent,agents/arjuna/arjuna_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
aruna_agent,agents/aruna/aruna_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
brahma_agent,agents/brahma/brahma_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
chanakya_agent,agents/chanakya/chanakya_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
chandra_agent,agents/chandra/chandra_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
chitragupta_agent,agents/chitragupta/chitragupta_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
agent_class_matrix,agents/common/agent_class_matrix.py,QUARANTINE_REVIEW,False,False,True,PASS,
director_authority_profiles,agents/common/director_authority_profiles.py,QUARANTINE_REVIEW,False,False,True,PASS,
director_binding_matrix,agents/common/director_binding_matrix.py,QUARANTINE_REVIEW,False,False,True,PASS,
production_agent_base,agents/common/production_agent_base.py,QUARANTINE_REVIEW,False,False,True,PASS,
sub_agent_matrix,agents/common/sub_agent_matrix.py,QUARANTINE_REVIEW,False,False,True,PASS,
workflow_binding_contracts,agents/common/workflow_binding_contracts.py,QUARANTINE_REVIEW,False,False,True,PASS,
workflow_sub_agent_base,agents/common/workflow_sub_agent_base.py,QUARANTINE_REVIEW,False,False,True,PASS,
durga_agent,agents/durga/durga_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
ganesha_agent,agents/ganesha/ganesha_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
garuda_agent,agents/garuda/garuda_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
hanuman_agent,agents/hanuman/hanuman_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
indra_agent,agents/indra/indra_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
kama_agent,agents/kama/kama_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
krishna_agent,agents/krishna/krishna_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
kubera_agent,agents/kubera/kubera_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
Narada_Data_Ingestion_Agent_v2,agents/narada/narada_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
nataraja_agent,agents/nataraja/nataraja_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
parashara_agent,agents/parashara/parashara_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
ravana_agent,agents/ravana/ravana_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
saraswati_agent,agents/saraswati/saraswati_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
shakti_agent,agents/shakti/shakti_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
shiva_agent,agents/shiva/shiva_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
tumburu_agent,agents/tumburu/tumburu_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
valmiki_agent,agents/valmiki/valmiki_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
varuna_agent,agents/varuna/varuna_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
vishnu_agent,agents/vishnu/vishnu_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
vishwakarma_agent,agents/vishwakarma/vishwakarma_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
vyasa_agent,agents/vyasa/vyasa_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
yama_agent,agents/yama/yama_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
yudhishthira_agent,agents/yudhishthira/yudhishthira_agent.py,QUARANTINE_REVIEW,False,False,True,PASS,
SUB_AGENT_RUNTIME_REGISTRY,subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,QUARANTINE_REVIEW,False,False,True,PASS,
cwf_110_sub_agent,subagents/cwf_110/cwf_110_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_120_sub_agent,subagents/cwf_120/cwf_120_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_130_sub_agent,subagents/cwf_130/cwf_130_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_140_sub_agent,subagents/cwf_140/cwf_140_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_210_sub_agent,subagents/cwf_210/cwf_210_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_220_sub_agent,subagents/cwf_220/cwf_220_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_230_sub_agent,subagents/cwf_230/cwf_230_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_240_sub_agent,subagents/cwf_240/cwf_240_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_310_sub_agent,subagents/cwf_310/cwf_310_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_320_sub_agent,subagents/cwf_320/cwf_320_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_330_sub_agent,subagents/cwf_330/cwf_330_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_340_sub_agent,subagents/cwf_340/cwf_340_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_410_sub_agent,subagents/cwf_410/cwf_410_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_420_sub_agent,subagents/cwf_420/cwf_420_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_430_sub_agent,subagents/cwf_430/cwf_430_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_440_sub_agent,subagents/cwf_440/cwf_440_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_510_sub_agent,subagents/cwf_510/cwf_510_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_520_sub_agent,subagents/cwf_520/cwf_520_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_530_sub_agent,subagents/cwf_530/cwf_530_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_610_sub_agent,subagents/cwf_610/cwf_610_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_620_sub_agent,subagents/cwf_620/cwf_620_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
cwf_630_sub_agent,subagents/cwf_630/cwf_630_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_000_sub_agent,subagents/wf_000/wf_000_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_001_sub_agent,subagents/wf_001/wf_001_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_010_sub_agent,subagents/wf_010/wf_010_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_020_sub_agent,subagents/wf_020/wf_020_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_021_sub_agent,subagents/wf_021/wf_021_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_022_sub_agent,subagents/wf_022/wf_022_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_023_sub_agent,subagents/wf_023/wf_023_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_100_sub_agent,subagents/wf_100/wf_100_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_200_sub_agent,subagents/wf_200/wf_200_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_300_sub_agent,subagents/wf_300/wf_300_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_400_sub_agent,subagents/wf_400/wf_400_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_500_sub_agent,subagents/wf_500/wf_500_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_600_sub_agent,subagents/wf_600/wf_600_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
wf_900_sub_agent,subagents/wf_900/wf_900_sub_agent.py,DUPLICATE_CANDIDATE,False,False,True,PASS,
SKILL_DNA_UPGRADE_TEMPLATE,skills/SKILL_DNA_UPGRADE_TEMPLATE.md,QUARANTINE_REVIEW,False,False,True,PASS,
E-601-performance-analyst,skills/analytics/E-601-performance-analyst.py,QUARANTINE_REVIEW,False,False,True,PASS,
E-601-performance-analyst.skill,skills/analytics/E-601-performance-analyst.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
E-602-feedback-analyst,skills/analytics/E-602-feedback-analyst.py,QUARANTINE_REVIEW,False,False,True,PASS,
E-602-feedback-analyst.skill,skills/analytics/E-602-feedback-analyst.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
E-603-evolution-strategist,skills/analytics/E-603-evolution-strategist.py,QUARANTINE_REVIEW,False,False,True,PASS,
E-603-evolution-strategist.skill,skills/analytics/E-603-evolution-strategist.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-091-lip-sync-engine,skills/autonomous_loop/M-091-lip-sync-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-091-lip-sync-engine.skill,skills/autonomous_loop/M-091-lip-sync-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-091-m-091-execution-engine,skills/autonomous_loop/M-091-m-091-execution-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-092-avatar-rendering-engine,skills/autonomous_loop/M-092-avatar-rendering-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-092-avatar-rendering-engine.skill,skills/autonomous_loop/M-092-avatar-rendering-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-093-visual-effects-engine,skills/autonomous_loop/M-093-visual-effects-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-093-visual-effects-engine.skill,skills/autonomous_loop/M-093-visual-effects-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-094-color-grading-engine,skills/autonomous_loop/M-094-color-grading-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-094-color-grading-engine.skill,skills/autonomous_loop/M-094-color-grading-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-095-motion-graphics-engine,skills/autonomous_loop/M-095-motion-graphics-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-095-motion-graphics-engine.skill,skills/autonomous_loop/M-095-motion-graphics-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-096-transition-designer,skills/autonomous_loop/M-096-transition-designer.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-096-transition-designer.skill,skills/autonomous_loop/M-096-transition-designer.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-097-pacing-optimizer,skills/autonomous_loop/M-097-pacing-optimizer.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-097-pacing-optimizer.skill,skills/autonomous_loop/M-097-pacing-optimizer.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-098-final-edit-compiler,skills/autonomous_loop/M-098-final-edit-compiler.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-098_Final_Edit_Compiler,skills/autonomous_loop/M-098-final-edit-compiler.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-099-quality-assurance-engine,skills/autonomous_loop/M-099-quality-assurance-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-099_Quality_Assurance_Engine,skills/autonomous_loop/M-099-quality-assurance-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-100-safety-compliance-engine,skills/autonomous_loop/M-100-safety-compliance-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-100_Safety_Compliance_Engine,skills/autonomous_loop/M-100-safety-compliance-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-101-decision-board,skills/autonomous_loop/M-101-decision-board.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-101_Decision_Board,skills/autonomous_loop/M-101-decision-board.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-102-escalation-engine,skills/autonomous_loop/M-102-escalation-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-102_Escalation_Engine,skills/autonomous_loop/M-102-escalation-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-103-strategic-alignment-engine,skills/autonomous_loop/M-103-strategic-alignment-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-103_Strategic_Alignment_Engine,skills/autonomous_loop/M-103-strategic-alignment-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-104-executive-review-system,skills/autonomous_loop/M-104-executive-review-system.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-104_Executive_Review_System,skills/autonomous_loop/M-104-executive-review-system.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-105-publishing-engine,skills/autonomous_loop/M-105-publishing-engine.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-105_Publishing_Engine,skills/autonomous_loop/M-105-publishing-engine.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
M-106-upload-verification,skills/autonomous_loop/M-106-upload-verification.py,QUARANTINE_REVIEW,False,False,True,PASS,
M-106_Upload_Verification,skills/autonomous_loop/M-106-upload-verification.skill.md,QUARANTINE_REVIEW,False,False,True,PASS,
