media_capability,packet_contract,producer_component,consumer_component,route_manifest,validator_rule,quality_metric,exists,connected,provider_boundary_present,depth_status,gap
lighting/color/composition,runtime_contracts/media_packets/VISUAL_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,visual_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
video motion prompts,runtime_contracts/media_packets/VIDEO_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,video_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
camera movement,runtime_contracts/media_packets/VIDEO_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,video_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
scene duration,runtime_contracts/media_packets/VIDEO_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,video_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
transition plan,runtime_contracts/media_packets/VIDEO_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,video_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
sync points,runtime_contracts/media_packets/VIDEO_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,video_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
music mood,runtime_contracts/media_packets/MUSIC_SFX_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,music_sfx_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
SFX cues,runtime_contracts/media_packets/MUSIC_SFX_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,music_sfx_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
silence cues,runtime_contracts/media_packets/MUSIC_SFX_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,music_sfx_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
editing timeline,runtime_contracts/media_packets/EDITING_TIMELINE_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,editing_timeline_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
caption style,runtime_contracts/media_packets/EDITING_TIMELINE_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,editing_timeline_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
thumbnail moment,runtime_contracts/media_packets/EDITING_TIMELINE_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,editing_timeline_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
provider handoff packet,runtime_contracts/media_packets/PROVIDER_HANDOFF_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,provider_handoff_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
media quality scorecard,runtime_contracts/media_packets/MEDIA_QUALITY_GATE_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,media_quality_gate_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
