component_id,component_layer,file_path,route_family,has_activation_triggers,has_input_contract,has_output_contract,has_upstream_pointer,has_downstream_pointer,has_quality_gate,has_fallback,has_validator_binding,has_lineage_fields,has_provider_boundary,depth_status,production_risk
DIRECTOR:_VISHNU,director,directors/supreme_vision/vishnu.md,platform;research;script,true,false,false,false,true,true,true,false,true,false,HISTORICAL_ONLY,LOW
AGENT_RUNTIME_REGISTRY,agent,agents/AGENT_RUNTIME_REGISTRY.yaml,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agastya_agent,agent,agents/agastya/agastya_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_control_plane_001_agent,agent,agents/agent_control_plane_001/agent_control_plane_001_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_control_plane_002_agent,agent,agents/agent_control_plane_002/agent_control_plane_002_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_control_plane_003_agent,agent,agents/agent_control_plane_003/agent_control_plane_003_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_control_plane_004_agent,agent,agents/agent_control_plane_004/agent_control_plane_004_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_control_plane_005_agent,agent,agents/agent_control_plane_005/agent_control_plane_005_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_evolution_001_agent,agent,agents/agent_evolution_001/agent_evolution_001_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_evolution_002_agent,agent,agents/agent_evolution_002/agent_evolution_002_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_evolution_003_agent,agent,agents/agent_evolution_003/agent_evolution_003_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_evolution_004_agent,agent,agents/agent_evolution_004/agent_evolution_004_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_evolution_005_agent,agent,agents/agent_evolution_005/agent_evolution_005_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_001_agent,agent,agents/agent_governance_001/agent_governance_001_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_002_agent,agent,agents/agent_governance_002/agent_governance_002_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_003_agent,agent,agents/agent_governance_003/agent_governance_003_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_004_agent,agent,agents/agent_governance_004/agent_governance_004_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_005_agent,agent,agents/agent_governance_005/agent_governance_005_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_006_agent,agent,agents/agent_governance_006/agent_governance_006_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_007_agent,agent,agents/agent_governance_007/agent_governance_007_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_008_agent,agent,agents/agent_governance_008/agent_governance_008_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_009_agent,agent,agents/agent_governance_009/agent_governance_009_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_governance_010_agent,agent,agents/agent_governance_010/agent_governance_010_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_001_agent,agent,agents/agent_kernel_001/agent_kernel_001_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_002_agent,agent,agents/agent_kernel_002/agent_kernel_002_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_003_agent,agent,agents/agent_kernel_003/agent_kernel_003_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_004_agent,agent,agents/agent_kernel_004/agent_kernel_004_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_005_agent,agent,agents/agent_kernel_005/agent_kernel_005_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_006_agent,agent,agents/agent_kernel_006/agent_kernel_006_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_007_agent,agent,agents/agent_kernel_007/agent_kernel_007_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_008_agent,agent,agents/agent_kernel_008/agent_kernel_008_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_009_agent,agent,agents/agent_kernel_009/agent_kernel_009_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_010_agent,agent,agents/agent_kernel_010/agent_kernel_010_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_011_agent,agent,agents/agent_kernel_011/agent_kernel_011_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_kernel_012_agent,agent,agents/agent_kernel_012/agent_kernel_012_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_001_agent,agent,agents/agent_media_001/agent_media_001_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_002_agent,agent,agents/agent_media_002/agent_media_002_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_003_agent,agent,agents/agent_media_003/agent_media_003_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_004_agent,agent,agents/agent_media_004/agent_media_004_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_005_agent,agent,agents/agent_media_005/agent_media_005_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_006_agent,agent,agents/agent_media_006/agent_media_006_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_007_agent,agent,agents/agent_media_007/agent_media_007_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_008_agent,agent,agents/agent_media_008/agent_media_008_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_009_agent,agent,agents/agent_media_009/agent_media_009_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_010_agent,agent,agents/agent_media_010/agent_media_010_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_011_agent,agent,agents/agent_media_011/agent_media_011_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_012_agent,agent,agents/agent_media_012/agent_media_012_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_013_agent,agent,agents/agent_media_013/agent_media_013_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_014_agent,agent,agents/agent_media_014/agent_media_014_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_015_agent,agent,agents/agent_media_015/agent_media_015_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_016_agent,agent,agents/agent_media_016/agent_media_016_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_017_agent,agent,agents/agent_media_017/agent_media_017_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_018_agent,agent,agents/agent_media_018/agent_media_018_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_019_agent,agent,agents/agent_media_019/agent_media_019_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_media_020_agent,agent,agents/agent_media_020/agent_media_020_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_plugin_runtime_001_agent,agent,agents/agent_plugin_runtime_001/agent_plugin_runtime_001_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_plugin_runtime_002_agent,agent,agents/agent_plugin_runtime_002/agent_plugin_runtime_002_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_plugin_runtime_003_agent,agent,agents/agent_plugin_runtime_003/agent_plugin_runtime_003_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_plugin_runtime_004_agent,agent,agents/agent_plugin_runtime_004/agent_plugin_runtime_004_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_001_agent,agent,agents/agent_recovery_001/agent_recovery_001_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_002_agent,agent,agents/agent_recovery_002/agent_recovery_002_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_003_agent,agent,agents/agent_recovery_003/agent_recovery_003_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_004_agent,agent,agents/agent_recovery_004/agent_recovery_004_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_005_agent,agent,agents/agent_recovery_005/agent_recovery_005_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_006_agent,agent,agents/agent_recovery_006/agent_recovery_006_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_007_agent,agent,agents/agent_recovery_007/agent_recovery_007_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_recovery_008_agent,agent,agents/agent_recovery_008/agent_recovery_008_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_001_agent,agent,agents/agent_research_001/agent_research_001_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_002_agent,agent,agents/agent_research_002/agent_research_002_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_003_agent,agent,agents/agent_research_003/agent_research_003_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_004_agent,agent,agents/agent_research_004/agent_research_004_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_005_agent,agent,agents/agent_research_005/agent_research_005_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_006_agent,agent,agents/agent_research_006/agent_research_006_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_007_agent,agent,agents/agent_research_007/agent_research_007_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_008_agent,agent,agents/agent_research_008/agent_research_008_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_009_agent,agent,agents/agent_research_009/agent_research_009_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_010_agent,agent,agents/agent_research_010/agent_research_010_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_011_agent,agent,agents/agent_research_011/agent_research_011_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_012_agent,agent,agents/agent_research_012/agent_research_012_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_013_agent,agent,agents/agent_research_013/agent_research_013_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_014_agent,agent,agents/agent_research_014/agent_research_014_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_015_agent,agent,agents/agent_research_015/agent_research_015_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_016_agent,agent,agents/agent_research_016/agent_research_016_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_017_agent,agent,agents/agent_research_017/agent_research_017_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_research_018_agent,agent,agents/agent_research_018/agent_research_018_agent.py,research,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agni_agent,agent,agents/agni/agni_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
arjuna_agent,agent,agents/arjuna/arjuna_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
aruna_agent,agent,agents/aruna/aruna_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
brahma_agent,agent,agents/brahma/brahma_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
chanakya_agent,agent,agents/chanakya/chanakya_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
chandra_agent,agent,agents/chandra/chandra_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
chitragupta_agent,agent,agents/chitragupta/chitragupta_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
agent_class_matrix,agent,agents/common/agent_class_matrix.py,UNKNOWN,false,false,true,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
director_authority_profiles,agent,agents/common/director_authority_profiles.py,analytics;audio;editing;publishing,false,false,true,false,false,true,false,false,true,false,MISSING_IO_SCHEMA,HIGH
director_binding_matrix,agent,agents/common/director_binding_matrix.py,UNKNOWN,false,false,true,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
production_agent_base,agent,agents/common/production_agent_base.py,research,false,false,true,true,true,true,true,true,false,false,MISSING_IO_SCHEMA,HIGH
sub_agent_matrix,agent,agents/common/sub_agent_matrix.py,UNKNOWN,false,false,true,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
workflow_binding_contracts,agent,agents/common/workflow_binding_contracts.py,analytics;audio;context_engineering_packet;platform,false,true,true,false,true,false,false,true,true,false,MISSING_COMMUNICATION_POINTERS,HIGH
workflow_sub_agent_base,agent,agents/common/workflow_sub_agent_base.py,UNKNOWN,false,true,true,false,false,false,true,false,false,false,MISSING_COMMUNICATION_POINTERS,HIGH
durga_agent,agent,agents/durga/durga_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
ganesha_agent,agent,agents/ganesha/ganesha_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
garuda_agent,agent,agents/garuda/garuda_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
hanuman_agent,agent,agents/hanuman/hanuman_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
indra_agent,agent,agents/indra/indra_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
kama_agent,agent,agents/kama/kama_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
krishna_agent,agent,agents/krishna/krishna_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
kubera_agent,agent,agents/kubera/kubera_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
Narada_Data_Ingestion_Agent_v2,agent,agents/narada/narada_agent.py,trend_research,false,false,true,true,true,false,true,true,false,false,MISSING_IO_SCHEMA,HIGH
nataraja_agent,agent,agents/nataraja/nataraja_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
parashara_agent,agent,agents/parashara/parashara_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
ravana_agent,agent,agents/ravana/ravana_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
saraswati_agent,agent,agents/saraswati/saraswati_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
shakti_agent,agent,agents/shakti/shakti_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
shiva_agent,agent,agents/shiva/shiva_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
tumburu_agent,agent,agents/tumburu/tumburu_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
valmiki_agent,agent,agents/valmiki/valmiki_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
varuna_agent,agent,agents/varuna/varuna_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
vishnu_agent,agent,agents/vishnu/vishnu_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
vishwakarma_agent,agent,agents/vishwakarma/vishwakarma_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
vyasa_agent,agent,agents/vyasa/vyasa_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
yama_agent,agent,agents/yama/yama_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
yudhishthira_agent,agent,agents/yudhishthira/yudhishthira_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
SUB_AGENT_RUNTIME_REGISTRY,subagent,subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_110_sub_agent,subagent,subagents/cwf_110/cwf_110_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_120_sub_agent,subagent,subagents/cwf_120/cwf_120_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_130_sub_agent,subagent,subagents/cwf_130/cwf_130_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_140_sub_agent,subagent,subagents/cwf_140/cwf_140_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_210_sub_agent,subagent,subagents/cwf_210/cwf_210_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_220_sub_agent,subagent,subagents/cwf_220/cwf_220_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_230_sub_agent,subagent,subagents/cwf_230/cwf_230_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_240_sub_agent,subagent,subagents/cwf_240/cwf_240_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_310_sub_agent,subagent,subagents/cwf_310/cwf_310_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
cwf_320_sub_agent,subagent,subagents/cwf_320/cwf_320_sub_agent.py,UNKNOWN,false,false,false,false,false,false,false,false,false,false,MISSING_IO_SCHEMA,HIGH
